direccion,m2_total,m2_cubiertos,ambientes,banos,cocheras,dormitorios,toilettes,antiguedad,orientacion,luminosidad
"Centenario al 3900,  San Justo, La Matanza",216,156,3,1,2,2,,20,,
"Brandsen al 3100,  San Justo, La Matanza",32620,,,,,,,,,
"Ing. White 3900,  San Justo, La Matanza",158,93,3,1,1,2,1,40,,
"Peru 2300,  San Justo, La Matanza",429,,,,,,,35,,
"Arieta al 2100,  San Justo, La Matanza",86,36,2,1,,1,,6,NE,Muy luminoso
"Paraguay 2300,  San Justo, La Matanza",53,50,2,1,1,1,,,NO,
"Beron de Astrada 4186,  San Justo, La Matanza",180,100,3,1,1,2,,30,,
"Balbastro al 3500,  San Justo, La Matanza",306,157,3,1,2,2,,50,S,
"Sarratea 3200,  San Justo, La Matanza",81,56,3,2,1,2,1,20,NE,
"Figueroa Alcorta 2900,  San Justo, La Matanza",325,235,4,2,1,3,1,44,,
"Jose Indart al 2300,  San Justo, La Matanza",393,,,,,,,,,
"Ocampo  3200,  San Justo, La Matanza",540,16,,,1,,,20,,
"Florencio Varela al 2500,  San Justo, La Matanza",325,257,7,2,1,5,,65,SE,Muy luminoso
"ALMAFUERTE, AVDA. 300. Entre Puna y Achala,  Parque Patricios, Capital Federal",109,53,2,1,,1,,,O,
"Ocampo  3200,  San Justo, La Matanza",540,16,,,1,,,20,,
"Paraguay 2300,  San Justo, La Matanza",50,47,2,1,1,1,,,NO,
"Ombu al 3100,  San Justo, La Matanza",80,60,3,1,1,2,,,NE,
"Dr. Enrique eizaguirre 2600. Entre Juan florio y Monseñor marcon,  San Justo, La Matanza",29,29,1,1,,,,,,
"Pasteur 4000,  San Justo, La Matanza",200,200,5,3,1,4,,40,,Muy luminoso
"MARCON, MONSEÑOR JOSE 2842. Entre Illia, arturo av. y Salta,  San Justo, La Matanza",51,51,2,2,,1,1,,,
"MARCON, MONSEÑOR JOSE 2842. Entre Illia, arturo av. y Salta,  San Justo, La Matanza",63,63,2,2,,1,1,,,
"Gral Ocampo ,  San Justo, La Matanza",60,57,2,1,,1,,4,,
"Monseñor José Francisco Marcón 2600,  San Justo, La Matanza",43,37,2,1,,1,,,,
"OCAMPO 1965. Entre Lartigau, alberto y Falcon, ramon,  San Justo, La Matanza",32,32,2,,,1,,,,
"Lezica 3100,  San Justo, La Matanza",662,356,5,3,2,3,,24,,
"Monseñor Marcón al 2300 San Justo,  San Justo, La Matanza",38,35,2,1,,1,,2,E,
"Ocampo al 3300,  San Justo, La Matanza",48,48,3,1,,2,,13,NE,
"Comisionado Jose Indart  1200,  San Justo, La Matanza",375,98,4,2,1,3,,22,,
"Entre Rios al 2000,  San Justo, La Matanza",41,39,2,1,1,1,,1,,
"Sarratea 2300,  San Justo, La Matanza",439,115,4,2,2,3,,50,,
